Location	Easting	Northing	obs_19-21
Bathgate	1405334.737	4914364.771	100.73
Tonga_Park_Shallow	1405348.624	4913651.913	100.49
Tonga_Park_Deep	1405348.624	4913651.913	100.70
Kennedy	1405662.272	4912961.713	100.58
Culling_Park_old	1407253	4913766.7	100.05
Culling_Park_new	1407251.056	4913761.406	100.051
Forbury_Park_Raceway	1405819	4913185	100.2
Kings	1405673.4	4913894.6	100.376
Bayfield	1407847.5	4914693.2	100.62
Marlow_St	1407672.7	4914098.9	100.88
Timaru_St	1406879.1	4914385.2	100.16
Fitzroy_St	1404905.8	4914105.3	103.523
Pretoria_Ave	1405337.1	4913409.3	100.70
Andersons_Bay_Rd	1406198	4915115	100.16
King_Edward_St	1406140	4914441	100.62
Council_St	1406458.7	4913576.9	100.52
Alma_St	1405825.4	4913390.2	100.78
De_Carle_Park	1406382.7	4913559	100.63
Moana_Rua_(deep)	1406276.7	4913174.4	100.68
Moana_Rua_(shallow)	1406281.7	4913175.7	101.38
Surrey_St	1405030	4914058	100.733
SthDCommunityLibrary	1406142.386	4914446.964	100.624
Holiday_Park	1407272.457	4913379.691	101.665
OMES	1406833.797	4913276.653	101.455
Turakina_Rd	1406619.953	4914986.213	101.203
Scout_Hall_shallow	1405841.642	4912957.792	101.218
Scout_Hall_deep	1405885.459	4912948.453	100.881
Tahuna	1407683.901	4913697.198	100.623
Lochend_St	1407615.2122	4914270.2855	100.979
Market_St	1406735.17	4913764.026	100.605
Annex_St	1406757.501	4914256.15	100.268
Richardson_St	1406384.5885	4913773.6043	101.170
East_St	1405888.4919	4913561.8124	100.699
Ravelston	1406940	4913943	100.699
Hargest_Cres	1405482.0108	4913041.5346	101.109
